Concept ID,Concept Name
443698,Abnormal anal Papanicolaou smear
443585,Abrasion and/or friction burn of multiple sites
380818,Acquired deformity of head
31668,Acquired deformity of neck
4319325,Acquired deformity of trunk
432411,Acquired equinus deformity of foot
439673,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
441481,Adult victim of abuse
4218106,Alcoholism
4303805,Allergic reaction to bite and/or sting
4101660,Amputated below knee
4198962,Amputated thumb
4171556,Ankle ulcer
77650,Aseptic necrosis of bone
439237,Assault
141797,Black piedra
79232,Burn of ankle
4172458,Candidiasis of skin
42709838,Cellulitis of lower limb
439674,Chronic viral hepatitis B without delta-agent
4047787,Colles' fracture
134734,Compartment syndrome
72995,Contracture of joint of hand
80492,Contracture of knee joint
439666,Contracture of multiple joints
199978,Contusion of lower limb
433071,Contusion of multiple sites
201606,Crohn's disease
75389,Current tear of lateral cartilage AND/OR meniscus of knee
80242,Current tear of medial cartilage AND/OR meniscus of knee
73575,Deformity of toe
436906,Disease caused by rickettsiae
4135080,Dislocation of radial head
78834,Effusion of joint of hand
4247710,Effusion of joint of pelvic region
72407,Effusion of joint of shoulder region
4150043,Epididymitis
197607,Excessive and frequent menstruation
374801,Foreign body in ear
4131595,Fracture of radius
441487,Frostbite
40481632,Ganglion cyst
74855,Genital herpes simplex
437744,Heat exhaustion
440021,Herpes simplex without complication
437489,Herpes zoster with complication
440329,Herpes zoster without complication
435511,Hypercalcemia
77364,Hypermobility of coccyx
74731,Hypertrophic osteoarthropathy
440129,Hypertrophy of nasal turbinates
440072,Hypogammaglobulinemia
4344500,Impingement syndrome of shoulder region
434872,Infection by Trichomonas
440053,Infestation by insect
4057662,Infestation by Phthirus
4168222,"Intra-abdominal and pelvic swelling, mass and lump"
72994,Jaccoud's syndrome
78512,Joint contracture of the ankle and/or foot
78228,Joint derangement
77072,Joint effusion of ankle AND/OR foot
72404,Joint stiffness
435903,Juvenile osteochondrosis of foot
438527,"Juvenile osteochondrosis of lower extremity, excluding foot"
435633,Juvenile osteochondrosis of upper extremity
4115991,Knee joint effusion
435516,Lipoprotein deficiency disorder
4297984,Local infection of wound
440638,Lyme disease
438067,Malaria
438297,"Mechanical complication of cardiac device, implant AND/OR graft"
432798,"Mechanical complication of internal orthopedic device, implant AND/OR graft"
137967,"Muscle, ligament and fascia disorders"
4271024,Musculoskeletal fibromatosis
4209423,Nicotine dependence
201792,Nongonococcal urethritis
72413,Nontraumatic rupture of muscle
4215978,Onychomycosis
140648,Onychomycosis due to dermatophyte
4129408,Open wound of ankle
4053600,Open wound of elbow
77139,Open wound of finger without complication
444426,Open wound of foot except toes without complication
137426,Open wound of forearm without complication
77421,Open wound of hand except fingers without complication
4051004,Open wound of scalp
4129404,Open wound of upper arm
438120,Opioid dependence
4171915,Orchitis
315361,Orthopnea
74080,Orthostatic proteinuria
75920,Osteitis condensans
437359,Osteochondritis dissecans
378160,Otorrhea
77356,Pathological dislocation of joint
375292,Perforation of tympanic membrane
253796,Pneumothorax
4295261,Postmenopausal state
4094448,Pregnancy test negative
198715,Premature menopause
199876,Prolapse of female genital organs
4295888,Prolapse of intestine
194997,Prostatitis
4245252,Raised prostate specific antigen
4345332,Spinal instability
4195698,Tenosynovitis
4339088,Testicular mass
80946,Tinea manus
4163280,Tinea of perianal region
133141,Tinea pedis
440268,Toxic effect of carbon monoxide
81930,Transient arthropathy
74719,Ulcer of foot
443593,Ulcer of thigh
4092565,Uterine prolapse
435131,Victim of neglect
261599,Vocal cord paralysis
132834,White piedra
435723,Wound seroma
